Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
1/1/2006,2006,1,1,†,1.3,,-0.2,,0.6,,17.4,,0,,0,,,M,13.3,,11,,,,<31,
1/2/2006,2006,1,2,†,3.3,,0.1,,1.7,,16.3,,0,,,M,,M,8.9,,11,,,,<31,
1/3/2006,2006,1,3,†,1.1,,-0.6,,0.3,,17.7,,0,,0,,,M,2.8,,11,,,,<31,
1/4/2006,2006,1,4,†,2.9,,0,,1.5,,16.5,,0,,0,,,M,5.5,,18,,,,<31,
1/5/2006,2006,1,5,†,2.4,,0,,1.2,,16.8,,0,,0,,,M,36,,25,,,,<31,
1/6/2006,2006,1,6,†,5.7,,0,,2.9,,15.1,,0,,,M,,M,15,,21,,,,<31,
1/7/2006,2006,1,7,†,3.4,,1.3,,2.4,,15.6,,0,,,M,,M,3.7,,18,,,,<31,
1/8/2006,2006,1,8,†,2.5,,0.1,,1.3,,16.7,,0,,,M,,M,2.3,,16,,,,<31,
1/9/2006,2006,1,9,†,2.1,,0.1,,1.1,,16.9,,0,,0,,,M,15.8,,18,,,,<31,
1/10/2006,2006,1,10,†,1.8,,0,,0.9,,17.1,,0,,0,,,M,7.2,,20,,,,<31,
1/11/2006,2006,1,11,†,2.4,,0,,1.2,,16.8,,0,,,M,,M,7,,26,,,,<31,
1/12/2006,2006,1,12,†,2,,0.1,,1.1,,16.9,,0,,0,,,M,3.8,,22,,,,<31,
1/13/2006,2006,1,13,†,0.4,,0,,0.2,,17.8,,0,,0,,,M,27.8,,35,,,,<31,
1/14/2006,2006,1,14,†,2.2,,-0.1,,1.1,,16.9,,0,,,M,,M,7.3,,36,,,,<31,
1/15/2006,2006,1,15,†,1.4,,-1.7,,-0.2,,18.2,,0,,,M,,M,0,,32,,,,<31,
1/16/2006,2006,1,16,†,0.2,,-1.5,,-0.7,,18.7,,0,,,M,,M,,M,32,,,,<31,
1/17/2006,2006,1,17,†,3.2,,-0.7,,1.3,,16.7,,0,,,M,,M,2.4,,54,,16,,32,
1/18/2006,2006,1,18,†,4.4,,0,,2.2,,15.8,,0,,,M,,M,1.4,,46,,,,<31,
1/19/2006,2006,1,19,†,1.7,,-2,,-0.2,,18.2,,0,,0,,,M,3.5,,41,,,,<31,
1/20/2006,2006,1,20,†,2.3,,-1.7,,0.3,,17.7,,0,,0,,,M,5.2,,48,,,,<31,
1/21/2006,2006,1,21,†,0.9,,-2.6,,-0.9,,18.9,,0,,,M,,M,0,,49,,,,<31,
1/22/2006,2006,1,22,†,2.1,,0.1,,1.1,,16.9,,0,,,M,,M,1.5,,46,,16,,32,
1/23/2006,2006,1,23,†,3.8,,1.4,,2.6,,15.4,,0,,,M,,M,0,,44,,,,<31,
1/24/2006,2006,1,24,†,5.1,,-1.4,,1.9,,16.1,,0,,,M,,M,0,,39,,,,<31,
1/25/2006,2006,1,25,†,4.8,,-1.7,,1.6,,16.4,,0,,,M,,M,2.6,,39,,,,<31,
1/26/2006,2006,1,26,†,2.2,,0,,1.1,,16.9,,0,,0,,,M,4.8,,38,,,,<31,
1/27/2006,2006,1,27,†,1.5,,-1.6,,-0.1,,18.1,,0,,0,,,M,0.6,,43,,,,<31,
1/28/2006,2006,1,28,†,2.3,,-1,,0.7,,17.3,,0,,0,,,M,5.9,,45,,,,<31,
1/29/2006,2006,1,29,†,2,,-1.2,,0.4,,17.6,,0,,0,,,M,12.3,,48,,,,<31,
1/30/2006,2006,1,30,†,3.2,,-1.2,,1,,17,,0,,0,,,M,13.4,,81,,,,<31,
1/31/2006,2006,1,31,†,2,,-0.2,,0.9,,17.1,,0,,0,,,M,4.7,,72,,,,<31,
2/1/2006,2006,2,1,†,3.9,,-0.1,,1.9,,16.1,,0,,,M,,M,8.8,,75,,,,<31,
2/2/2006,2006,2,2,†,3.2,,-0.3,,1.5,,16.5,,0,,,M,,M,6.2,,63,,,,<31,
2/3/2006,2006,2,3,†,2.7,,0,,1.4,,16.6,,0,,,M,,M,1.9,,59,,,,<31,
2/4/2006,2006,2,4,†,2.2,,0,,1.1,,16.9,,0,,0,,,M,13.8,,64,,,,<31,
2/5/2006,2006,2,5,†,2.2,,-1.3,,0.5,,17.5,,0,,,M,,M,0,,59,,,,<31,
2/6/2006,2006,2,6,†,3.2,,-2.2,,0.5,,17.5,,0,,,M,,M,0,,57,,,,<31,
2/7/2006,2006,2,7,†,6.5,,-2,,2.3,,15.7,,0,,,M,,M,0,,55,,,,<31,
2/8/2006,2006,2,8,†,6.9,,-3.4,,1.8,,16.2,,0,,,M,,M,1.6,,54,,,,<31,
2/9/2006,2006,2,9,†,4,,-7,,-1.5,,19.5,,0,,,M,,M,0,,53,,,,<31,
2/10/2006,2006,2,10,†,4.2,,-5.5,,-0.7,,18.7,,0,,,M,,M,0,,52,,4,,33,
2/11/2006,2006,2,11,†,4.3,,-4.1,,0.1,,17.9,,0,,,M,,M,0,,52,,,,<31,
2/12/2006,2006,2,12,†,8.7,,-3.6,,2.6,,15.4,,0,,,M,,M,0,,52,,,,<31,
2/13/2006,2006,2,13,†,5.7,,-3.8,,1,,17,,0,,,M,,M,0,,51,,,,<31,
2/14/2006,2006,2,14,†,1.9,,-8.7,,-3.4,,21.4,,0,,,M,,M,0,,50,,,,<31,
2/15/2006,2006,2,15,†,1.8,,-10.7,,-4.5,,22.5,,0,,,M,,M,0,,50,,,,<31,
