Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
1/1/2012,2012,1,1,†,-1.2,,-5,,-3.1,,21.1,,0,,,M,,M,0,,29,,,,<31,
1/2/2012,2012,1,2,†,2,,-5.8,,-1.9,,19.9,,0,,,M,,M,0.4,,32,,,,<31,
1/3/2012,2012,1,3,†,3.8,,0.2,,2,,16,,0,,,M,,M,6.9,,31,,,,<31,
1/4/2012,2012,1,4,†,5.3,,0.9,,3.1,,14.9,,0,,,M,,M,30.4,,28,,18,,57,
1/5/2012,2012,1,5,†,4.2,,0.7,,2.5,,15.5,,0,,,M,,M,1.2,,24,,,,<31,
1/6/2012,2012,1,6,†,1.2,,-1.5,,-0.2,,18.2,,0,,,M,,M,0,,24,,,,<31,
1/7/2012,2012,1,7,†,0.5,,-1.8,,-0.7,,18.7,,0,,,M,,M,0,,24,,,,<31,
1/8/2012,2012,1,8,†,3.1,,0.1,,1.6,,16.4,,0,,,M,,M,3,,24,,,,<31,
1/9/2012,2012,1,9,†,5.2,,0.8,,3,,15,,0,,,M,,M,6.6,,21,,,,<31,
1/10/2012,2012,1,10,†,0.8,,-6.3,,-2.8,,20.8,,0,,,M,,M,0,,16,,,,<31,
1/11/2012,2012,1,11,†,-1.4,,-6.5,,-4,,22,,0,,,M,,M,0,,15,,,,<31,
1/12/2012,2012,1,12,†,,M,-6.3,E,,M,,M,,M,,M,,M,,M,16,,,M,,M
1/13/2012,2012,1,13,†,,M,,M,,M,,M,,M,,M,,M,,M,,,,M,,M
1/14/2012,2012,1,14,,,,,,,,,,,,,,,,,,,,,,,
1/15/2012,2012,1,15,,,,,,,,,,,,,,,,,,,,,,,
1/16/2012,2012,1,16,†,,M,,M,,M,,M,,M,,M,,M,,M,,,,,<31,
1/17/2012,2012,1,17,†,-11.9,,-18.6,,-15.3,,33.3,,0,,,M,,M,,M,25,,,,<31,
