Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
1/1/2011,2011,1,1,†,-5.7,,-13.4,,-9.6,,27.6,,0,,,M,,M,0,,,,,,<31,
1/2/2011,2011,1,2,†,-4.1,,-13.5,,-8.8,,26.8,,0,,,M,,M,0,,,,,,<31,
1/3/2011,2011,1,3,†,-2,,-12.5,,-7.3,,25.3,,0,,,M,,M,0,,,,,,<31,
1/4/2011,2011,1,4,†,-0.6,,-8,,-4.3,,22.3,,0,,,M,,M,0,,,,,,<31,
1/5/2011,2011,1,5,†,,M,-4.4,E,,M,,M,,M,,M,,M,,M,56,,,,<31,
1/6/2011,2011,1,6,†,0.7,,0.1,,0.4,,17.6,,0,,0,,,M,20.2,,74,,,,<31,
1/7/2011,2011,1,7,†,3.7,,-0.9,,1.4,,16.6,,0,,,M,,M,11.9,,78,,,,<31,
1/8/2011,2011,1,8,†,2.9,,-5.2,,-1.2,,19.2,,0,,,M,,M,0,,73,,,,<31,
1/9/2011,2011,1,9,†,-3.5,,-11,,-7.3,,25.3,,0,,,M,,M,0,,72,,,,<31,
1/10/2011,2011,1,10,†,-8.4,,-14.1,,-11.3,,29.3,,0,,,M,,M,0,,69,,,,<31,
1/11/2011,2011,1,11,†,-7.4,,-10.9,,-9.2,,27.2,,0,,,M,,M,0,,70,,,,<31,
1/12/2011,2011,1,12,†,1.2,,-8.6,,-3.7,,21.7,,0,,,M,,M,12.9,,,,,,<31,
1/13/2011,2011,1,13,†,3.6,,-3.9,,-0.2,,18.2,,0,,,M,,M,14.5,,,,,,<31,
1/14/2011,2011,1,14,†,4.7,,0.7,,2.7,,15.3,,0,,,M,,M,16,,,,,,<31,
1/15/2011,2011,1,15,†,4.7,,1.4,,3.1,,14.9,,0,,,M,,M,12.5,,73,,,,<31,
1/16/2011,2011,1,16,†,5.7,,0.7,,3.2,,14.8,,0,,,M,,M,21.9,,66,,,,<31,
1/17/2011,2011,1,17,†,5.4,,-0.3,,2.6,,15.4,,0,,,M,,M,0.6,,55,,,,<31,
1/18/2011,2011,1,18,†,1.7,,-5,,-1.7,,19.7,,0,,,M,,M,0,,53,,,,<31,
1/19/2011,2011,1,19,†,0.9,,-8.4,,-3.8,,21.8,,0,,,M,,M,0,,53,,,,<31,
1/20/2011,2011,1,20,†,0.2,,-1.9,,-0.9,,18.9,,0,,,M,,M,1.1,,53,,,,<31,
1/21/2011,2011,1,21,†,2.8,,-1.2,,0.8,,17.2,,0,,,M,,M,10.2,,,,,,<31,
1/22/2011,2011,1,22,†,3.7,,-1.7,,1,,17,,0,,,M,,M,0,,62,,,,<31,
1/23/2011,2011,1,23,†,3.7,,0.3,,2,,16,,0,,,M,,M,0,,64,,,,<31,
1/24/2011,2011,1,24,†,2.2,,0.1,,1.2,,16.8,,0,,,M,,M,8.2,,61,,,,<31,
1/25/2011,2011,1,25,†,4.3,,0.9,,2.6,,15.4,,0,,,M,,M,0,,60,,,,<31,
1/26/2011,2011,1,26,†,7.2,,-0.9,,3.2,,14.8,,0,,,M,,M,3.1,,55,,,,<31,
1/27/2011,2011,1,27,†,5.4,,-1.8,,1.8,,16.2,,0,,,M,,M,0,,51,,,,<31,
1/28/2011,2011,1,28,†,1.4,,-2.9,,-0.8,,18.8,,0,,,M,,M,5,,52,,,,<31,
1/29/2011,2011,1,29,†,0.3,,-6,,-2.9,,20.9,,0,,,M,,M,2.6,,52,,,,<31,
1/30/2011,2011,1,30,†,-3.5,,-9.8,,-6.7,,24.7,,0,,,M,,M,0,,,,,,<31,
1/31/2011,2011,1,31,†,-5.2,,-10.8,,-8,,26,,0,,,M,,M,0,,,,,,<31,
2/1/2011,2011,2,1,†,-3.4,,-11,,-7.2,,25.2,,0,,,M,,M,0,,54,,,,<31,
2/2/2011,2011,2,2,†,0,,-10.2,,-5.1,,23.1,,0,,,M,,M,0,,54,,,,<31,
2/3/2011,2011,2,3,†,2.7,,-1.4,,0.7,,17.3,,0,,,M,,M,15.1,,54,,,,<31,
2/4/2011,2011,2,4,†,6,,0,,3,,15,,0,,,M,,M,13.4,,50,,,,<31,
2/5/2011,2011,2,5,†,4,,-0.8,,1.6,,16.4,,0,,,M,,M,0,,47,,,,<31,
2/6/2011,2011,2,6,†,2.3,,0,,1.2,,16.8,,0,,0,,,M,7.9,,47,,,,<31,
2/7/2011,2011,2,7,†,5,,-1.2,,1.9,,16.1,,0,,,M,,M,0,,47,,,,<31,
