Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
1/1/2010,2010,1,1,†,0.1,,-4.7,,-2.3,,20.3,,0,,0,,,M,16.5,,44,,,,<31,
1/2/2010,2010,1,2,†,2.9,,-0.2,,1.4,,16.6,,0,,,M,,M,0.9,,58,,,,<31,
1/3/2010,2010,1,3,†,3.1,,-0.1,,1.5,,16.5,,0,,,M,,M,0,,49,,,,<31,
1/4/2010,2010,1,4,†,1.2,,-0.4,,0.4,,17.6,,0,,,M,,M,0.7,,46,,,,<31,
1/5/2010,2010,1,5,†,2.1,,-2.8,,-0.4,,18.4,,0,,,M,,M,0,,45,,,,<31,
1/6/2010,2010,1,6,†,-2.8,,-6.9,,-4.9,,22.9,,0,,,M,,M,0,,45,,,,<31,
1/7/2010,2010,1,7,†,-3.3,,-7.7,,-5.5,,23.5,,0,,,M,,M,0.5,,45,,,,<31,
1/8/2010,2010,1,8,†,-0.2,,-5.8,,-3,,21,,0,,0,,,M,9.2,,45,,,,<31,
1/9/2010,2010,1,9,†,5.1,,-0.3,,2.4,,15.6,,0,,,M,,M,3.8,,46,,,,<31,
1/10/2010,2010,1,10,†,3.2,,0.9,,2.1,,15.9,,0,,,M,,M,2.5,,42,,,,<31,
1/11/2010,2010,1,11,†,3,,1.4,,2.2,,15.8,,0,,,M,,M,50.6,,37,,,,<31,
1/12/2010,2010,1,12,†,5.6,E,1.1,E,3.4,E,14.6,E,0,E,,M,,M,,M,34,,,,<31,
1/13/2010,2010,1,13,†,3.1,,-0.1,,1.5,,16.5,,0,,,M,,M,2.5,,32,,,,<31,
1/14/2010,2010,1,14,†,3.8,,0.1,,2,,16,,0,,,M,,M,6.1,,30,,,,<31,
1/15/2010,2010,1,15,†,3.7,,-0.7,,1.5,,16.5,,0,,0,,,M,24.2,,37,,,,<31,
1/16/2010,2010,1,16,†,1.5,,-2.6,,-0.6,,18.6,,0,,,M,,M,0,,37,,,,<31,
1/17/2010,2010,1,17,†,1.6,,-2.3,,-0.4,,18.4,,0,,0,,,M,4.4,,35,,,,<31,
1/18/2010,2010,1,18,†,4,,0,,2,,16,,0,,,M,,M,13.4,,44,,,,<31,
1/19/2010,2010,1,19,†,3.9,,-0.4,,1.8,,16.2,,0,,,M,,M,,M,43,,,,<31,
1/20/2010,2010,1,20,†,3.3,,-0.1,,1.6,,16.4,,0,,,M,,M,2.2,,42,,,,<31,
1/21/2010,2010,1,21,†,5.6,,-0.5,,2.6,,15.4,,0,,,M,,M,0,,42,,,,<31,
1/22/2010,2010,1,22,†,4.7,,-2.4,,1.2,,16.8,,0,,,M,,M,0,,42,,,,<31,
1/23/2010,2010,1,23,†,1.7,,-5.3,,-1.8,,19.8,,0,,,M,,M,0,,42,,,,<31,
1/24/2010,2010,1,24,†,0,,-5.9,,-3,,21,,0,,,M,,M,0,,42,,,,<31,
1/25/2010,2010,1,25,†,0.9,,-2.6,,-0.9,,18.9,,0,,0,,,M,1.9,,41,,,,<31,
1/26/2010,2010,1,26,†,3.7,,-0.9,,1.4,,16.6,,0,,,M,,M,0.7,,48,,,,<31,
1/27/2010,2010,1,27,†,3.9,,-1.2,,1.4,,16.6,,0,,,M,,M,0,,45,,,,<31,
1/28/2010,2010,1,28,†,4.1,,-1.1,,1.5,,16.5,,0,,,M,,M,0,,45,,,,<31,
1/29/2010,2010,1,29,†,5.2,,0,,2.6,,15.4,,0,,,M,,M,0,,46,,,,<31,
1/30/2010,2010,1,30,†,4.4,,0.4,,2.4,,15.6,,0,,,M,,M,1.7,,44,,,,<31,
1/31/2010,2010,1,31,†,4.7,,1,,2.9,,15.1,,0,,,M,,M,0,,41,,,,<31,
2/1/2010,2010,2,1,†,4.5,,0.5,,2.5,,15.5,,0,,,M,,M,0.3,,38,,,,<31,
2/2/2010,2010,2,2,†,4.8,,0,,2.4,,15.6,,0,,0,,,M,2,,37,,,,<31,
2/3/2010,2010,2,3,†,5,,0.2,,2.6,,15.4,,0,,,M,,M,0,,38,,,,<31,
2/4/2010,2010,2,4,†,5.4,,-0.7,,2.4,,15.6,,0,,,M,,M,,M,37,,,,<31,
2/5/2010,2010,2,5,†,5.6,,0.2,,2.9,,15.1,,0,,,M,,M,2.4,,38,,,,<31,
2/6/2010,2010,2,6,†,5.3,,-0.6,,2.4,,15.6,,0,,,M,,M,0,,38,,,,<31,
2/7/2010,2010,2,7,†,6.3,,-0.4,,3,,15,,0,,,M,,M,0,,37,,,,<31,
2/8/2010,2010,2,8,†,5.5,,-1.5,,2,,16,,0,,,M,,M,0,,37,,,,<31,
2/9/2010,2010,2,9,†,6.6,,-4.7,,1,,17,,0,,,M,,M,0,,35,,,,<31,
2/10/2010,2010,2,10,†,3.2,,-1.7,,0.8,,17.2,,0,,,M,,M,0,,35,,,,<31,
2/11/2010,2010,2,11,†,2.2,,-0.1,,1.1,,16.9,,0,,,M,,M,2.8,,34,,,,<31,
2/12/2010,2010,2,12,†,5.9,,0.9,,3.4,,14.6,,0,,,M,,M,7.5,,33,,,,<31,
2/13/2010,2010,2,13,†,5.8,,0.1,,3,,15,,0,,,M,,M,6.1,,32,,,,<31,
2/14/2010,2010,2,14,†,7.2,,-1,,3.1,,14.9,,0,,,M,,M,12.2,,32,,,,<31,
2/15/2010,2010,2,15,†,3.6,,-3.3,,0.2,,17.8,,0,,,M,,M,0,,30,,,,<31,
2/16/2010,2010,2,16,†,5.5,,0.1,,2.8,,15.2,,0,,0,,,M,9.5,,29,,,,<31,
2/17/2010,2010,2,17,†,7,,-2.5,,2.3,,15.7,,0,,,M,,M,0,,30,,,,<31,
2/18/2010,2010,2,18,†,7.8,,-4.2,,1.8,,16.2,,0,,,M,,M,0,,30,,,,<31,
2/19/2010,2010,2,19,†,7.9,,-4.1,,1.9,,16.1,,0,,,M,,M,0,,31,,,,<31,
2/20/2010,2010,2,20,†,8.6,,-3.9,,2.4,,15.6,,0,,,M,,M,0,,31,,,,<31,
2/21/2010,2010,2,21,†,9.2,,-4.2,,2.5,,15.5,,0,,,M,,M,0,,31,,,,<31,
2/22/2010,2010,2,22,†,10.5,,-5.1,,2.7,,15.3,,0,,,M,,M,0,,30,,,,<31,
2/23/2010,2010,2,23,†,6.1,,-2.4,,1.9,,16.1,,0,,,M,,M,0,,,,,,<31,
2/24/2010,2010,2,24,†,4.2,,0.1,,2.2,,15.8,,0,,,M,,M,2.8,,29,,,,<31,
2/25/2010,2010,2,25,†,6.4,,-0.1,,3.2,,14.8,,0,,,M,,M,0.8,,25,,,,<31,
2/26/2010,2010,2,26,†,2.6,,-0.2,,1.2,,16.8,,0,,,M,,M,2.4,,24,,,,<31,
2/27/2010,2010,2,27,†,5.9,,1,,3.5,,14.5,,0,,,M,,M,4.7,,23,,,,<31,
2/28/2010,2010,2,28,†,8.1,,-0.1,,4,,14,,0,,,M,,M,0,,21,,,,<31,
3/1/2010,2010,3,1,†,10.2,,-0.5,,4.9,,13.1,,0,,,M,,M,0,,19,,,,<31,
3/2/2010,2010,3,2,†,7.5,,0.8,,4.2,,13.8,,0,,,M,,M,0.7,,15,,,,<31,
3/3/2010,2010,3,3,†,11.3,,-0.1,,5.6,,12.4,,0,,,M,,M,0,,14,,,,<31,
3/4/2010,2010,3,4,†,9.3,,-0.4,,4.5,,13.5,,0,,,M,,M,0,,12,,,,<31,
3/5/2010,2010,3,5,†,11.4,,-1.8,,4.8,,13.2,,0,,,M,,M,0,,8,,,,<31,
