Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
1/1/2013,2013,1,1,†,-3.1,,-10.7,,-6.9,,24.9,,0,,,M,,M,0,,40,,,,<31,
1/2/2013,2013,1,2,†,-4.1,,-9.9,,-7,,25,,0,,,M,,M,0,,39,,,,<31,
1/3/2013,2013,1,3,†,-3,,-11.5,,-7.3,,25.3,,0,,,M,,M,0,,43,,,,<31,
1/4/2013,2013,1,4,†,-0.3,,-6.4,,-3.4,,21.4,,0,,,M,,M,0,,42,,,,<31,
1/5/2013,2013,1,5,†,0.7,,-4.5,,-1.9,,19.9,,0,,0,,,M,4.6,,41,,,,<31,
1/6/2013,2013,1,6,†,1,,0,,0.5,,17.5,,0,,,M,,M,1,,46,,17,,32,
1/7/2013,2013,1,7,†,2,,-0.8,,0.6,,17.4,,0,,0,,,M,9.7,,47,,,,<31,
1/8/2013,2013,1,8,†,-0.3,,-2.9,,-1.6,,19.6,,0,,0,,,M,18.7,,51,,,,<31,
1/9/2013,2013,1,9,†,2,,-2.3,,-0.2,,18.2,,0,,,M,,M,3.8,,81,,,,<31,
1/10/2013,2013,1,10,†,-0.1,,-12.1,,-6.1,,24.1,,0,,,M,,M,0.6,,65,,,,<31,
1/11/2013,2013,1,11,†,-4.1,,-16.3,,-10.2,,28.2,,0,,,M,,M,0,,63,,,,<31,
1/12/2013,2013,1,12,†,-6,,-15.8,,-10.9,,28.9,,0,,,M,,M,0,,59,,,,<31,
1/13/2013,2013,1,13,†,-5,,-15.1,,-10.1,,28.1,,0,,,M,,M,0,,62,,,,<31,
